,Buy-In,What's Going On This Month,Work Plan,MI2 Buy-in Manager,Production Timeline (LOP),% Completion (LOP),% Completion (Annual)
0,LAC Buy-In,Updates are in the Cross-Mission Learning and Field Support by Region,LAC Work Plan,Geeta,4-years,35-79%,
1,Colombia Buy-In,"
Evaluation: Team is finalizing the evaluation report based on mission feedback. MI2 is also talking with the Mission about their priorities for the remainder of the buy-in LOE (GU 6/10/20)",Colombia Work Plan,Geeta,1.5-years,35-79%,
2,Madagascar Buy-In,Awaiting further input from mission on co-design support needs and funding options for Q3/Q4; still need to schedule follow up webinars to cover TOC-based MEL biodiversity programming arc (EM 7/10/20),EAR Work Plan,Kelsey,4.5 years,25-34%,
3,Nepal Buy-In,"MI2, FAB and Nepal met on May 20th. MI2 conducted and shared a desk review, drafted inputs for a Request for Information and organized design resources for the Nepal activity design team. During the meeting, the Nepal team indicated they would re-engage MI2 after internal review of their concept note was completed (timing uncertain) (KS 6/12)",Nepal Work Plan,Kelsey,,,
4,Peru Buy-In,"Progress continues to be made under Task 4. Analysis of aligment between Project and Activity level MEL Plans is almost complete and ready for USAID feedback on a path forward. We continue to work with the learning team to coordinate efforts. Planning and coordination with USAID is underway for the upcoming ProBosques, NIWS, FOREST, Alianza Forestal, and Conflict Fisheries pause and reflect workshop (SG 7/2/20)",Peru Work Plan,Maina,4-years,0-24%,
5,AREP Buy-In,"Progress continues to be made under Task 4, aligment between Project and Activity level MEL Plans is complete and MI2 is now gathering feedback from USAID on how to proceed. We continue to work with the learning team to coordinate efforts. For task 6, the Amazon Vision report, annual reports and PPRs are being gathered from the missions for input data. The SERVIR PaR workshop was supported earlier this month and planning and coordination with USAID continues for the upcoming SCIOA pause and reflect workshop (Sara 7/2/20)",SAR Work Plan,Maina,4-years,0-24%,
6,CDP Buy-In,"Four virtual activity design sessions were completed on May, June and early July. The CBP activity design team and MI2 are currently scoping a process to complete systems mapping as an additional input to the design process (KS 7/9)",Caribbean Work Plan,Kelsey,1.5-years,25-34%,
7,Mexico Buy-In,Waiting on feedback from the Mission and LAC on next steps for remaining LOE in the buy-in (SG 7/2/20),Mexico Work Plan,Geeta,1.5-years,80-89%,
8,Mozambique Buy-In,"Pause and Reflect is on schedule for July, PAD and SVPN work is also planned for July, HEARTHS to start this month, Received request for CWT, CLA (potentially) pushed to August/ September but is still on standby, DDL submission should go this month, HHS completed. (EM 7/10/20)",,Kathleen,2.5-years,0-24%,
9,CARPE Buy-in,"Virtual TOC workshop for CARPE Strategy completed, currently composing summary. (EM 7/10/20)",CARPE Work Plan,Kathleen,1-year,0-24%,
10,Liberia Buy-In,[Link to Liberia work plan once developed] Possbile buy-in this summer (KF 6/6/20),Liberia Work Plan,,,,
11,Africa Bureau Buy-In,[Link to Africa B. work plan once developed] Buy-in expected this summer (KF 6/6/20),Africa Work Plan,"Kathleen, Vinaya",,,
12,East Africa Buy-In,Awaiting further input from mission on co-design support needs and funding options for Q3/Q4; still need to schedule follow up webinars to cover TOC-based MEL biodiversity programming arc (EM 7/10/20),EAR Work Plan,Vinaya,,,
