,Workstream,What's Going On This Month?,Action Plan,Product #,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,LAC Lead,Link to Folder,Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes
0,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.1.A,"CE learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,,CE Learning Group site,Production,12,35-79%,Sep,
1,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.1.B,Prepare up to three CE newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,,Google Folder,Production,7,35-79%,Sep,
2,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.1.C,Plan and host up to three webinars on topics relevant to the CE Learning Agenda,Product,,Caroline,No,Caroline,Megan,,Google Folder,Production,7,35-79%,Sep,
3,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.2.A,Finalized CE MEL framework based on user input,Product,,Caroline,No,Judy,Megan,,Google Folder,Review,3,80-89%,Feb,
4,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.2.B,TA Outreach in three to five missions: provide specialized TA to apply the CE MEL framework for missions programming a new CE activity or continuing with an existing CE activity,Process,,,No,Judy,Megan,,CE TA to Missions,Scoping,10,0-24%,Sep,
5,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.3.A,Manuscript of CE TOC and findings,Product,Scoping Sheet,Natalie,,Judy,Megan,,,Review,3,35-79%,Mar,
6,2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,"June: Ongoing CE MEL TA discussions ongoing with about 7 missions; delivered a webinar on Alianza Forestal on 6/24 and kicked off prep for a Gorongosa webinar; CE MEL brief is with Cynthia for approval; CE retrospective being translated to Spanish (NC, 6/29/20)

",FY20 Cross-Mission Learning Tracking Table,2.1.3.B,Present this paper at the World Bank’s Land and Poverty Conference (TBD),TBD,,,No,Judy,Megan,,,Clearance,1,96-99%,Mar,Need to print materials with CKM team for conference.
7,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.1.A,"CWT learning group website, including periodic content updates",Product,,Caroline,No,Nathan,Megan,,,Production,12,35-79%,Sep,
8,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.1.B,Prepare up to three CWT newsletters for distribution by USAID,Product,,Caroline,No,Nathan,Megan,,Google Folder,Production,7,35-79%,Sep,
9,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.1.C,Plan and host up to three webinars on topics relevant to the CWT Learning Agenda,Product,,Caroline,No,Caroline,Megan,,Google Folder,Production,8,0-24%,,
10,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.1.D,"Facilitate and support CWT learning event in Bangkok, Thailand from November 21-22 in coordination with TRG",Process,Scoping Sheet,Caroline,No,Caroline,Megan,,Google Folder,Completed,4,100%,Dec,
11,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.2.A,MI2 support to compilation of findings from desk review (led by GLAM),Removed,,,,Nathan,Megan,,Google Folder,,5,,,Agreed with MH on 2/26 call to drop
12,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.2.B,Summary and synthesis of current AM practice in USAID CWT projects and portfolios,Product,Scoping + Transmission + Dissemination Plans,Shelly,Yes,Tess,Megan,,Google Folder,Production,9,25-34%,Jul,2/26 call with MH: will rescope this to be combined with product 2.2.2B.
13,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.2.C,MI2 support to case studies (~5-6) and a synthesis of lessons learned on effective AM of USAID CWT projects and portfolios (led by GLAM),Removed,,,,Tess,Megan,,Google Folder,Scoping,6,,,This workstream was to be led by the GLAM team with MI2 supporting. Discussed with MH possible next steps on 2/26 call - unlikely to have LOE to cover without GLAM input.
14,2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,"GLAM assessment rough draft completed and will be revised pending LH review; supported Social Impact in scoping a case study with Wildlife Asia and provided feedback (NC, 6/29/20)",FY20 Cross-Mission Learning Tracking Table,2.2.2.D,"Final project findings, recommendations, and guidance",Combined w/ other products,,,,Tess,Megan,,,Scoping,6,,,Agreed with MH on 2/26 call to combine with product 2.2.2.B
15,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.A,Finalized Scoping Sheet: Update and finalize the draft August 2019 document that defines the learning group activities and products for the Learning Community on Marine Conservation and Sustainable Fisheries. Illustrative outputs will be updated and shared with FAB once the scoping sheet is finalized and based on the available budget.,Product,Scoping Sheet,Caroline,No,Caroline/Lexine,Heidi,,Scoping Sheet,Review,6,90-95%,May,
16,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.B,"Draft Learning Agenda: A living document that identifies learning questions/ topics, prioritized according to criteria, with a plan to investigate or answer them. To be drafted in FY20 and then kept as a living document until finalizing in FY21 or FY22.",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,Caroline/Lexine,Heidi,,Learning Agenda Email,Completed,2,100%,Mar,"Learning agenda is the email to Missions kicking-off the learning group and asking them to engage with Teal on the KIIs. Links to a summary follow-up from the EO breakfast, which contains links to all the useful information about what we want to do and why."
17,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.C,"Develop new Marine Conservation and Sustainable Fisheries Management learning group website on the Biodiversity Conservation Gateway, including periodic content updates",Process,,Caroline,No,Teal,Heidi,,Folder or website,,4,35-79%,,SEEK will be covering this. TG will coordinate with SEEK on the layout we want.
18,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.D,Prepare up to three marine newsletters for distribution by USAID,Product,,Caroline,No,Teal,Heidi,,,Scoping,7,25-34%,,SEEK to lead design and delivery; MI2 to provide technical content
19,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.E,Plan and host up to three webinars on topics relevant to the Marine Conservation and Sustainable Fisheries Management Learning Agenda,Product,,Caroline,No,Teal,Heidi,,Webinar Development ,,,0-24%,,Likely not a output of this year.
20,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.F,"Evidence brief: Research, write, and disseminate a two-page evidence brief that communicates the findings of an assessment initiated in FY19. The brief will initiate work toward a toolkit by identifying common threats, approaches, results, indicators, and learning questions that might be most relevant to members.",Product,Scoping + Transmission + Dissemination Plans,Natalie,No,Teal,Heidi,,Marine Programming Inventory,,,,,To be completed in FY21.
21,2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,"July: Started drafting the PSE report to synthesize the KII findings organized around key strategic approaches being used. Tiffany and Teal have shared a website proposal with Heidi and are in agreement for website structure. Tiffany/Seek are coordinating with Ferguson Lynch to create the marine website template, which then Tiffany and Teal will populate with what was decided and confirmed by Heidi. 

Following China work is on hold: Brainstorming and prioritzing China topics to cover in a webinar and developing a SOW for an expert to engage on this topic.",FY20 Cross-Mission Learning Tracking Table,2.3.1.G,In-person half-day learning event at a relevant regional meeting,Process,Scoping Sheet,Caroline,No,"Teal, Caroline/Lexine",Heidi,,,,,,,Not an output of this year.
23,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.A,Create framework and develop results chain to understand enabling conditions for partnerships,Process,,Caroline,No,Teal,,Share with CP/LC for feedback/input; and share with steering group for feedback/input,PSE for better conservation actions- Generic Results Chain,Production,6,90-95%,May,
24,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.B,"Review PSE studies (e.g., Private Sector Perspective; Partnership Health; Failure Analysis); identify gaps and opportunities for LAC Learning Agenda and inform framework",Process,,,No,Teal,,,PSE Studies,Production,9,35-79%,Jun,
25,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.C,Coordinate with LAC on Bureau and Mission PSE Engagement Strategies to identify areas for support and collaboration,Process,,,No,Geeta,,,,Scoping,3,25-34%,,
26,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.D,Disseminate/share with missions and get their input; incorporate feedback into framework,Process,,,No,Teal,,,,Production,4,96-99%,Jun,
27,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.E,Coordinate with PSE indicators working group; Share TOC and indicator development process,Process,,,No,Geeta,,Keep CP/LC in loop on progress,MI2 Collaboration with Indicator Working Group FY20 Q2-3,Scoping,6,25-34%,,
28,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.F,Review Enduring Results study & PSE Evidence Gap Map; identify gaps and opportunities for LAC Learning Agenda and inform framework,Process,,,No,Geeta,,Share high level findings with CP/LC,USAID PSE Evidence Gap Map,Production,6,80-89%,,
29,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.G,Disseminate/share with missions and get their input; incorporate feedback into framework,Process,,,No,Geeta,,TBD- depends on PSE hub work,,Production,3,80-89%,,
30,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.H,Compile and share resources for the LAC PSE Learning Group based on crosswalk of existing and planned PSE resources and missions' needs (in coordination with PSE KM specialist),Process,,,No,Sara,,Share with CP/LC for feedback/input- ways to involve LAC communication strategy,PSE Resource Crosswalk,Production,3,90-95%,Sept,
31,2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,"June 30: Completed key informant interviews, analyzing results, and updating learning agenda text based on input. Completed surveys to non-steering group members for broader input. Shared intial draft of learning agenda with USAID LAC for review. The final learning agenda format/platform is still being scoped by Sue with the LAC team. Next steps in July include organizing and facilitating virtual meetings with the PSE Steering Group and other LAC Missions to get input on the learning agenda questions and priority activities/products (SG 6/22/20)",LAC FY20 Work Plan and Budget,2.4.1.I,Review USAID Comparative Analysis and PSE case studies; identify gaps and opportunities for LAC Learning Agenda and opportunities to highlight LAC Environment case studies,Process,,,No,Sara,,,,Scoping,1,0-24%,Sept,
