,Focal Area,What's Going On This Month?,Workstream,Product #,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date,Important Notes,FY20 Q1 Progress,FY20 Q2 Progress
0,3. EVIDENCE-BASED PRACTICE,"updated 3/1/20
- 3.1.1.B (EBP job aid) scoping consults and initial production
-3.1.1.D (Environmental Evidence Summit) meetings with session co-organizers to plan session and roundtable
-ELWG meeting this month (topic TBD)",3.1 Evidence Theory to Practice,3.1.1.A,Strategic coordination with other workstreams and focal areas to operationalize concepts in EiA along one or more pathways,Process,,,,Kathleen,Sara,,,12,,,Link to ELWG folder,,
1,3. EVIDENCE-BASED PRACTICE,"updated 3/1/20
- 3.1.1.B (EBP job aid) scoping consults and initial production
-3.1.1.D (Environmental Evidence Summit) meetings with session co-organizers to plan session and roundtable
-ELWG meeting this month (topic TBD)",3.1 Evidence Theory to Practice,3.1.1.B,"Identify, develop, pilot, and distribute guidance and job aids (items that can easily be shared, referenced, and used) to operationalize concepts in EiA along one or more pathways (guidance documents)",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,Kathleen,Sara,Link,Scoping,5,0-24%,May,,,
2,3. EVIDENCE-BASED PRACTICE,"updated 3/1/20
- 3.1.1.B (EBP job aid) scoping consults and initial production
-3.1.1.D (Environmental Evidence Summit) meetings with session co-organizers to plan session and roundtable
-ELWG meeting this month (topic TBD)",3.1 Evidence Theory to Practice,3.1.1.C,"Information dissemination: dissemination of MI2’s paper on bridging the research-implementation gap via one or more channels (blog post, presentation, webinar)",Product,,Kathleen,Yes,Natalie,Sara,Link,Completed,3,100%,Dec,,"The MI2-supported article, “Bridging the research-implementation gap requires engagement by practitioners,” was published in the journal Conservation Science and Practice. This paper by USAID and MI2 staff expands the dialogue around a persistent challenge in biodiversity conservation often referred to as the research-implementation gap. The research-implementation gap captures the disconnect between the knowledge generated by researchers and the information being used to inform policy and practice.A companion blog posted to USAID's Learning Lab distills the key concepts and recommendations from the paper for USAID audiences.",
3,3. EVIDENCE-BASED PRACTICE,"updated 3/1/20
- 3.1.1.B (EBP job aid) scoping consults and initial production
-3.1.1.D (Environmental Evidence Summit) meetings with session co-organizers to plan session and roundtable
-ELWG meeting this month (topic TBD)",3.1 Evidence Theory to Practice,3.1.1.D,"Advance the practice of evidence-based conservation across USAID with a symposium and facilitated stakeholder round table convened at the Environmental Evidence Summit to engage potential contributors to the evidence base (donors and project implementers) and researchers engaged in evidence synthesis in a dialogue about increasing efficiency in knowledge generation about conservation effectiveness (Products: presentation, stakeholder roundtable output)",Product,,Kathleen,No,Natalie,Sara,,Production,9,0-24%,Jul,,,"Abstracts were accepted for a planned symposium at the 2020 Environmental Evidence Summit titled ""Plotting a course for strengthening the conservation evidence base: integrating multi-actor perspectives."" MI2 is supporting two speakers at the symposium and will facilitating a roundtable discussion that will engage stakeholders in a dialogue and generate action items that stakeholders can take back to their home institutions to increase the efficiency of knowledge generation about conservation effectiveness."
4,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.1.A,Goal 2 Evaluation Public-facing Executive Summary,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,Yes,Lexine,Olaf,Link,Clearance,1,96-99%,Feb,Timeline available at https://docs.google.com/spreadsheets/d/1hVsQkHdZM1Uax72tYXjINrW0sRReDeXCjWYBYVrMdbA/edit#gid=0,,Goal 2 Assessment deliverables submitted to FAB for COR approval 2/13/2020. HURRAH!! Waiting on feedback or approval.
5,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.1.B,Goal 2 Evaluation SBU Internal Results and Recommendations Slide Deck,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,Yes,Lexine,Olaf,Link,Clearance,1,96-99%,Feb,,,
6,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.1.C,"Goal 2 Evaluation Data tables, instruments and User Guide for replicating the assessment",Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,Yes,Lexine,Olaf,Link,Clearance,1,96-99%,Feb,,,
7,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.2.A,Conservation Volunteer Assessment Scope of Work,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,Shared Folder Link,Scoping,4,0-24%,Jun,"ICF team, AG in lead, negotiating scope with Andy Tobaison.",,CCN assessment on back burner until Andy Tobiason delivers scope.
8,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.2.B,Conservation Volunteer Assessment Slide deck and briefing for FAB on preliminary findings,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,,,,,,,,
9,4. BUSINESS PROCESSES AND INTEGRATION,2/28/2020: CCN Scope under development with Andres Gomez Technical Lead. LH and AG to discuss 3/5.,4.1 Evaluation of FAB Activities,4.1.2.C,Conservation Volunteer Assessment Draft report,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,,,,,,,,
