MI2-Wide Tracker,MI2 BVA,
Brazil,"MI2 LAC Brazil TA
",
CAM,,
Cambodia,MI2 FAB Cambodia TA,
Caribbean,BI-CDP,
CARPE,MI2_13.0.CARPE_BuyIn,
Colombia,BI-COL,
East Africa Regional,MI2 FAB EAR TA,
Ecuador,MI2 LAC Ecuador TA,
Guatemala,,
Indonesia,MI2 FAB Indonesia TA,
Madagascar,BI-MAD,
Malawi,MI2 FAB Malawi TA,
Mexico,BI-MEX,
Mozambique,MI2 FAB Mozambique TA,
Nepal,BI-NEPAL,
Papua New Guinea,MI2 FAB PNG TA,
Paraguay,MI2 LAC Paraguay TA,
Peru,BI-PERU,
Philippines,MI2 FAB Philippines TA,
RDMA,MI2 FAB RDMA TA,
SAR,BI-SAR,
Senegal,MI2 FAB Senegal TA,
Southern Africa Regional,,
Tanzania,MI2 FAB Tanzania TA,
Uganda,MI2 FAB Uganda TA,
Vietnam,MI2 FAB Vietnam TA,
Zambia,MI2 FAB Zambia TA,
,MI2 FAB Ghana TA,
,MI2 FAB Field Support TA,
,"MI2 TA Coord, Forecast, Documenting, Tools, Mgmt",
,MI2 FAB Buy-in Co-Creation & Management,
2.1: CONSERVATION ENTERPRISES CROSS-MISSION LEARNING GROUP,MI2 CE Learning Activities,
2.2 COMBATING WILDLIFE TRAFFICKING CROSS-MISSION LEARNING GROUP,MI2 CWT Learning Activities,
2.3 CROSS-MISSION LEARNING COMMUNITY ON MARINE CONSERVATION AND SUSTAINABLE FISHERIES MANAGEMENT,MI2 Marine Conservation Activities,
2.4.1 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING PRIVATE SECTOR ENGAGEMENT,MI2 LAC Cross-Mission Learning - PSE,
2.4.2 LATIN AMERICA AND CARIBBEAN CROSS-MISSION LEARNING COMBATTING CONSERVATION CRIME,MI2 LAC Cross-Mission Learning - CCC,
2.6 BUSHMEAT AND WILD MEAT CROSS-MISSION LEARNING GROUP PREPARATION,MI2 Bushmeat,
