,Focal Area,What's Going On This Month?,Workstream,MI2_Tracker_ID,Product Name,What to track?,Treatment,Sr. Level Technical Reviewer/Approver,DEC Submission (Y/N),MI Lead,FAB Lead,Link to Folder,Product Status,Production Timeline (No. of Months),% Completion,Due Date ,Important Notes,Source,unique_id,xbva
0,3. EVIDENCE-BASED PRACTICE,April - moving forward on job aid development; Environmental Evidence Summit (3.1.1.D) canceled; moving forward on ELWG focus on evidence forecasting,3.1 Evidence Theory to Practice,3.1.1.A,Strategic coordination with other workstreams and focal areas to operationalize concepts in EiA along one or more pathways ,Process,,,,Kathleen,Sara,,,12.0,35-79%,,Link to ELWG folder,workstream_products,Product #,3.1 Evidence Theory to Practice
1,3. EVIDENCE-BASED PRACTICE,April - moving forward on job aid development; Environmental Evidence Summit (3.1.1.D) canceled; moving forward on ELWG focus on evidence forecasting,3.1 Evidence Theory to Practice,3.1.1.B,"Identify, develop, pilot, and distribute guidance and job aids (items that can easily be shared, referenced, and used) to operationalize concepts in EiA along one or more pathways (guidance documents)",Product,Scoping + Transmission + Dissemination Plans,Kathleen,No,Kathleen,Sara,Link,Scoping,5.0,0-24%,May,,workstream_products,Product #,3.1 Evidence Theory to Practice
2,3. EVIDENCE-BASED PRACTICE,April - moving forward on job aid development; Environmental Evidence Summit (3.1.1.D) canceled; moving forward on ELWG focus on evidence forecasting,3.1 Evidence Theory to Practice,3.1.1.C,"Information dissemination: dissemination of MI2’s paper on bridging the research-implementation gap via one or more channels (blog post, presentation, webinar)",Product,,Kathleen,Yes,Natalie,Sara,Link,Completed,3.0,100%,Dec,,workstream_products,Product #,3.1 Evidence Theory to Practice
3,3. EVIDENCE-BASED PRACTICE,April - moving forward on job aid development; Environmental Evidence Summit (3.1.1.D) canceled; moving forward on ELWG focus on evidence forecasting,3.1 Evidence Theory to Practice,3.1.1.D,"Advance the practice of evidence-based conservation across USAID with a symposium and facilitated stakeholder round table convened at the Environmental Evidence Summit to engage potential contributors to the evidence base (donors and project implementers) and researchers engaged in evidence synthesis in a dialogue about increasing efficiency in knowledge generation about conservation effectiveness (Products: presentation, stakeholder roundtable output)",Product,,Kathleen,No,Natalie,Sara,,Production,9.0,0-24%,Jul,Meeting canceled ,workstream_products,Product #,3.1 Evidence Theory to Practice
4,4. BUSINESS PROCESSES AND INTEGRATION,"4/24/2020: Andres is kicking off the CCN assessment, desk review underway and KIIs being scheduled; final dissemination of goal 2 assessment.",4.1 Evaluation of FAB Activities,4.1.1.A,Goal 2 Evaluation Public-facing Executive Summary,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,Yes,Lexine,Olaf,Link,Completed,1.0,100%,Apr,Posted to DEC and Gateway 4/22/20,workstream_products,Product #,4.1 Evaluation of FAB Activities
5,4. BUSINESS PROCESSES AND INTEGRATION,"4/24/2020: Andres is kicking off the CCN assessment, desk review underway and KIIs being scheduled; final dissemination of goal 2 assessment.",4.1 Evaluation of FAB Activities,4.1.1.B,Goal 2 Evaluation SBU Internal Results and Recommendations Slide Deck,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,No,Lexine,Olaf,Link,Review,1.0,96-99%,May,All files available here: https://drive.google.com/drive/folders/12y5wIYk25zw679HUVNOYmqPGABp01ZQs,workstream_products,Product #,4.1 Evaluation of FAB Activities
6,4. BUSINESS PROCESSES AND INTEGRATION,"4/24/2020: Andres is kicking off the CCN assessment, desk review underway and KIIs being scheduled; final dissemination of goal 2 assessment.",4.1 Evaluation of FAB Activities,4.1.1.C,"Goal 2 Evaluation Data tables, instruments and User Guide for replicating the assessment",Product,Scoping + Transmission + Dissemination + Data Storage Plan,Liz,No,Lexine,Olaf,Link,Review,1.0,96-99%,May,,workstream_products,Product #,4.1 Evaluation of FAB Activities
7,4. BUSINESS PROCESSES AND INTEGRATION,"4/24/2020: Andres is kicking off the CCN assessment, desk review underway and KIIs being scheduled; final dissemination of goal 2 assessment.",4.1 Evaluation of FAB Activities,4.1.2.A,Conservation Volunteer Assessment Scope of Work,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,Shared Folder Link,Completed,1.0,100%,Apr,"ICF team, AG in lead, Andy approved Scope 4/10/20",workstream_products,Product #,4.1 Evaluation of FAB Activities
8,4. BUSINESS PROCESSES AND INTEGRATION,"4/24/2020: Andres is kicking off the CCN assessment, desk review underway and KIIs being scheduled; final dissemination of goal 2 assessment.",4.1 Evaluation of FAB Activities,4.1.2.B,Conservation Volunteer Assessment Slide deck and briefing for FAB on preliminary findings,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,,Scoping,2.0,0-24%,May,Content by Andres using MI2 ppt template.,workstream_products,Product #,4.1 Evaluation of FAB Activities
9,4. BUSINESS PROCESSES AND INTEGRATION,"4/24/2020: Andres is kicking off the CCN assessment, desk review underway and KIIs being scheduled; final dissemination of goal 2 assessment.",4.1 Evaluation of FAB Activities,4.1.2.C,Conservation Volunteer Assessment Draft report,Product,Scoping + Transmission + Dissemination + Data Storage Plan,Natalie,Yes,Lexine,Andy,,Scoping,3.0,0-24%,Jun,"Content by Andres, Design and finaliazation by MI2",workstream_products,Product #,4.1 Evaluation of FAB Activities
